acronym,system,never_suitable(0),remains_suitable(1),no_longer_suitable(-1),new_habitat(2),area_km2,remains_suitable_(1)_perc,no_longer_suitable(-1)_perc,new_habitat_(2)_per,net_change_perc,species,main_use,cover_inventory
GLIRSE,THEOCA_85,726,22034,578,535,NA,97.44383513178843,2.556164868211569,2.3660003537944454,-0.1901645144171238,Gliricidia sepium,N-fixing,12.3257561
GUAZUL,COFFAR_45,759,12895,209,704,NA,98.40506715506714,1.5949328449328448,5.372405372405373,3.7774725274725283,Guazuma ulmifolia,Timber,8.753234468
GUAZUL,THEOCA_45,2037,20895,425,516,NA,98.00656660412757,1.9934333958724202,2.420262664165103,0.42682926829268286,Guazuma ulmifolia,Timber,8.753234468
GUAZUL,COFFAR_85,755,12860,244,708,NA,98.13797313797313,1.862026862026862,5.402930402930403,3.540903540903541,Guazuma ulmifolia,Timber,8.753234468
GUAZUL,THEOCA_85,1917,20955,365,636,NA,98.28799249530957,1.7120075046904315,2.9831144465290804,1.271106941838649,Guazuma ulmifolia,Timber,8.753234468
HYMECO,COFFAR_45,3271,8293,2542,461,NA,76.53899400092293,23.461005999077063,4.2547300415320715,-19.206275957544992,Hymenaea courbaril,Timber,0.198937147
HYMECO,THEOCA_45,8801,11181,3580,311,NA,75.7469006164894,24.2530993835106,2.1069033263329042,-22.146196057177697,Hymenaea courbaril,Timber,0.198937147
HYMECO,COFFAR_85,3294,7399,3436,438,NA,68.28795569912322,31.71204430087679,4.042455006922012,-27.66958929395478,Hymenaea courbaril,Timber,0.198937147
HYMECO,THEOCA_85,8726,10623,4138,386,NA,71.9666689248696,28.033331075130413,2.614998983808685,-25.418332091321727,Hymenaea courbaril,Timber,0.198937147
INGACL,COFFAR_45,1565,10358,2643,1,NA,79.67079455426506,20.329205445734942,0.007691716021844474,-20.321513729713097,Inga calderonii,N-fixing,0.049323259
INGACL,THEOCA_45,1781,17777,4309,6,NA,80.48990310604003,19.510096893959975,0.027166530834012496,-19.482930363125963,Inga calderonii,N-fixing,0.049323259
INGACL,COFFAR_85,1566,9251,3750,0,NA,71.15606491808323,28.843935081916776,0,-28.843935081916776,Inga calderonii,N-fixing,0.049323259
INGACL,THEOCA_85,1778,16529,5557,9,NA,74.83926469256542,25.160735307434575,0.040749796251018745,-25.119985511183557,Inga calderonii,N-fixing,0.049323259
INGACO,COFFAR_45,7249,5711,1572,35,NA,78.41548812302622,21.584511876973774,0.4805711931896196,-21.103940683784156,Inga cocleensis,N-fixing,0.049323259
INGACO,THEOCA_45,4264,17594,1936,79,NA,90.08704557091653,9.912954429083461,0.40450588837685614,-9.508448540706604,Inga cocleensis,N-fixing,0.049323259
INGACO,COFFAR_85,7268,5227,2056,16,NA,71.76987505148978,28.230124948510227,0.2196896883152547,-28.01043526019497,Inga cocleensis,N-fixing,0.049323259
INGACO,THEOCA_85,4244,17174,2356,99,NA,87.93650793650794,12.063492063492063,0.5069124423963134,-11.55657962109575,Inga cocleensis,N-fixing,0.049323259
INGADE,COFFAR_45,176,12564,1824,3,NA,87.32276897414512,12.67723102585488,0.020850708924103418,-12.656380316930777,Inga densiflora,N-fixing,0.049323259
INGADE,THEOCA_45,1052,20819,1759,243,NA,92.20923022411198,7.790769775888033,1.0762689343608822,-6.714500841527151,Inga densiflora,N-fixing,0.049323259
INGADE,COFFAR_85,179,11368,3020,0,NA,79.01028634973589,20.989713650264108,0,-20.989713650264108,Inga densiflora,N-fixing,0.049323259
INGADE,THEOCA_85,1038,20294,2284,257,NA,89.88395783506068,10.116042164939323,1.1382761980689167,-8.977765966870406,Inga densiflora,N-fixing,0.049323259
INGAED,COFFAR_45,66,12499,2002,0,NA,86.19405558237364,13.805944417626371,0,-13.805944417626371,Inga edulis,N-fixing,0.049323259
